epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28220.9,inf,1.03027,1.19008,0.83064,0.76543,0.85561,0.66198,1.05529,1.07988,1.40968,0.000540037,0.000540037,0.000540037
43,28895.9,0.63314,1.0528,1.19356,0.82443,0.84937,0.87099,0.70546,0.99519,0.99547,1.34008,0.000531038,0.000531038,0.000531038
44,30591.1,0.62638,1.02017,1.19308,0.86135,0.74771,0.86455,0.69365,1.10915,1.14881,1.48206,0.000522039,0.000522039,0.000522039
45,32133,0.62462,1.03464,1.18875,0.7908,0.81915,0.84705,0.68596,0.97525,1.06429,1.35761,0.00051304,0.00051304,0.00051304
46,33394.2,0.62143,1.01855,1.18637,0.8256,0.82666,0.87106,0.70074,0.97461,0.99845,1.32847,0.00050404,0.00050404,0.00050404
47,33631.5,0.61984,1.004,1.18103,0.76065,0.82778,0.86455,0.70295,1.01359,0.96892,1.3644,0.000495041,0.000495041,0.000495041
48,33748.9,0.60004,0.98621,1.17458,0.84593,0.82798,0.87898,0.69778,0.99777,0.98715,1.3623,0.000486042,0.000486042,0.000486042
49,35914.4,0.61513,0.96833,1.1798,0.8243,0.80662,0.87198,0.71274,0.9522,1.02923,1.31671,0.000477043,0.000477043,0.000477043
50,37716.5,0.611,0.97722,1.18068,0.83256,0.81194,0.87497,0.71967,1.01479,0.98405,1.37659,0.000468044,0.000468044,0.000468044
51,37933.3,0.60107,0.96381,1.17085,0.79619,0.81389,0.88153,0.69825,1.05444,0.97186,1.41467,0.000459045,0.000459045,0.000459045
52,38114.9,0.60039,0.96145,1.1668,0.81335,0.83548,0.88781,0.71494,1.00802,0.98782,1.37731,0.000450046,0.000450046,0.000450046
53,38207.1,0.59574,0.94465,1.16713,0.84998,0.79717,0.8657,0.71214,0.99059,0.99542,1.32897,0.000441047,0.000441047,0.000441047
54,39840.9,0.59208,0.9347,1.1643,0.80642,0.86165,0.88848,0.73031,0.99818,0.98022,1.3489,0.000432048,0.000432048,0.000432048
55,40085,0.57878,0.92796,1.15715,0.87874,0.83986,0.90508,0.73986,0.98163,0.9025,1.34042,0.000423049,0.000423049,0.000423049
56,40727.7,0.57584,0.9341,1.15754,0.82034,0.85309,0.888,0.73992,0.97018,0.92036,1.32261,0.000414049,0.000414049,0.000414049
57,41054.5,0.59394,0.9187,1.16162,0.79419,0.83382,0.88342,0.71596,1.02925,0.95056,1.37275,0.00040505,0.00040505,0.00040505
58,41141.4,0.59025,0.90818,1.16261,0.80828,0.83407,0.88926,0.73702,0.97789,0.91481,1.35883,0.000396051,0.000396051,0.000396051
59,41905.6,0.58082,0.90145,1.15439,0.84991,0.85907,0.89191,0.73701,0.97022,0.87837,1.30592,0.000387052,0.000387052,0.000387052
60,42289.6,0.57723,0.89353,1.14917,0.82661,0.85306,0.90522,0.73869,0.99581,0.85197,1.31689,0.000378053,0.000378053,0.000378053
61,42771.8,0.5803,0.88256,1.15174,0.805,0.85616,0.89439,0.72798,0.98244,0.89194,1.32694,0.000369054,0.000369054,0.000369054
62,42993.8,0.56047,0.85327,1.14115,0.87782,0.81576,0.90765,0.73118,1.00806,0.85696,1.33894,0.000360055,0.000360055,0.000360055
63,43534.3,0.55328,0.83674,1.13999,0.8794,0.85177,0.90994,0.7437,0.97559,0.84588,1.32069,0.000351056,0.000351056,0.000351056
64,43876.8,0.56881,0.84425,1.14154,0.86974,0.86889,0.90799,0.72954,1.00646,0.84748,1.34508,0.000342057,0.000342057,0.000342057
65,44436.8,0.55732,0.83221,1.13677,0.87085,0.87022,0.91389,0.73875,0.97313,0.79307,1.31625,0.000333058,0.000333058,0.000333058
66,44880.2,0.56257,0.82828,1.13933,0.85231,0.87177,0.91259,0.7341,1.0131,0.86325,1.36899,0.000324058,0.000324058,0.000324058
67,45468.4,0.55511,0.82145,1.13399,0.88872,0.85399,0.90922,0.75221,0.98345,0.83786,1.33653,0.000315059,0.000315059,0.000315059
68,45773.4,0.54414,0.80254,1.12887,0.86594,0.87704,0.90823,0.74377,0.97044,0.79142,1.32116,0.00030606,0.00030606,0.00030606
69,46335.1,0.55587,0.79331,1.13504,0.85307,0.86643,0.90233,0.74364,1.00464,0.81688,1.35341,0.000297061,0.000297061,0.000297061
70,46708.4,0.54862,0.80305,1.13366,0.90058,0.87255,0.91133,0.76001,0.99321,0.82038,1.33163,0.000288062,0.000288062,0.000288062
71,47683.3,0.54764,0.79074,1.12391,0.8962,0.86042,0.90954,0.75395,0.999,0.84864,1.36949,0.000279063,0.000279063,0.000279063
72,48065.9,0.55044,0.79497,1.1222,0.88917,0.85991,0.90545,0.74918,1.04052,0.86438,1.39383,0.000270064,0.000270064,0.000270064
73,48156.5,0.54309,0.78287,1.12416,0.8705,0.87158,0.90711,0.74698,0.95167,0.77138,1.28766,0.000261065,0.000261065,0.000261065
74,48254.9,0.535,0.76963,1.11719,0.92068,0.85829,0.91497,0.75317,0.97136,0.77578,1.30637,0.000252066,0.000252066,0.000252066
75,48351.8,0.53211,0.76107,1.11551,0.88273,0.8793,0.91867,0.75557,0.96515,0.79446,1.30476,0.000243067,0.000243067,0.000243067
76,48925.7,0.52801,0.74858,1.111,0.8932,0.87349,0.91779,0.74897,1.03404,0.88463,1.37615,0.000234068,0.000234068,0.000234068
77,49403.5,0.52784,0.73915,1.11041,0.84882,0.89202,0.91063,0.74779,0.96391,0.79815,1.29791,0.000225068,0.000225068,0.000225068
78,50284.7,0.52134,0.73001,1.10114,0.86202,0.89807,0.91322,0.75305,0.97557,0.78646,1.30985,0.000216069,0.000216069,0.000216069
79,53477.6,0.51632,0.69915,1.09887,0.89092,0.87152,0.91375,0.75182,1.00759,0.80884,1.35056,0.00020707,0.00020707,0.00020707
80,53512.5,0.51141,0.71105,1.09534,0.87539,0.87211,0.91093,0.75522,0.99098,0.82478,1.34914,0.000198071,0.000198071,0.000198071
81,53545.4,0.50149,0.70052,1.09128,0.89924,0.85295,0.91514,0.75107,1.00922,0.80949,1.34677,0.000189072,0.000189072,0.000189072
82,53577.7,0.51,0.68926,1.09418,0.87817,0.87874,0.92132,0.76662,1.03759,0.8227,1.38472,0.000180073,0.000180073,0.000180073
83,53609.8,0.50991,0.70374,1.09836,0.86399,0.86076,0.91409,0.75341,0.97724,0.79396,1.3235,0.000171074,0.000171074,0.000171074
84,53642.6,0.49639,0.66769,1.08676,0.87475,0.89324,0.91673,0.75675,0.97476,0.7896,1.32479,0.000162075,0.000162075,0.000162075
85,53675.4,0.49487,0.67052,1.08357,0.85172,0.9025,0.91223,0.76142,0.96154,0.77133,1.30034,0.000153076,0.000153076,0.000153076
86,53708.4,0.49792,0.65516,1.083,0.88487,0.89333,0.91367,0.76534,0.93675,0.77593,1.28753,0.000144077,0.000144077,0.000144077
87,53741,0.50073,0.65559,1.08934,0.88757,0.83552,0.91075,0.7562,0.95954,0.78606,1.3072,0.000135077,0.000135077,0.000135077
88,53773.9,0.48269,0.64566,1.0792,0.88495,0.87791,0.90843,0.75912,0.98155,0.79167,1.34045,0.000126078,0.000126078,0.000126078
